name,width,height,cw,ch,ox,oy
arrows,1233,883,1033,573,101,144
blackeye,100,60,100,60,0,0
blue-hand,72,86,72,86,0,0
clock,756,756,756,756,0,0
coins-icon,684,537,684,537,0,0
dig,691,422,691,422,0,0
dog-barking00,320,320,89,130,111,111
dog-barking01,320,320,99,133,111,102
dog-barking02,320,320,89,146,111,94
dog-barking03,320,320,66,148,127,90
dog-barking04,320,320,89,146,120,94
dog-barking05,320,320,99,133,110,102
dog-barking06,320,320,89,130,120,111
dog-barking07,320,320,66,126,127,115
dog-barking08,320,320,89,130,111,111
dog-barking09,320,320,99,133,111,102
dog-barking10,320,320,89,146,111,94
dog-barking11,320,320,66,148,127,90
dog-barking12,320,320,89,146,120,94
dog-barking13,320,320,99,133,110,102
dog-barking14,320,320,89,130,120,111
dog-barking15,320,320,66,126,127,115
dog-poses00,320,320,94,128,114,115
dog-poses01,320,320,120,125,99,110
dog-poses02,320,320,94,133,114,111
dog-poses03,320,320,66,128,127,116
dog-poses04,320,320,94,133,112,111
dog-poses05,320,320,120,125,101,110
dog-poses06,320,320,94,128,112,115
dog-poses07,320,320,66,119,127,123
dog-poses08,320,320,94,128,114,115
dog-poses09,320,320,120,125,99,110
dog-poses10,320,320,94,133,114,111
dog-poses11,320,320,66,128,127,116
dog-poses12,320,320,94,133,112,111
dog-poses13,320,320,120,125,101,110
dog-poses14,320,320,94,128,112,115
dog-poses15,320,320,66,119,127,123
east-dig,496,266,496,266,0,0
east,455,228,455,228,0,0
fastForward,402,400,402,400,0,0
g1462,691,422,691,422,0,0
gold01,640,640,89,59,271,257
gold02,640,640,115,100,265,229
gold03,640,640,166,113,233,223
gold04,640,640,175,142,239,202
gold05,640,640,246,175,198,193
gold06,640,640,249,217,196,171
gold07,640,640,306,226,178,142
gold08,640,640,344,265,152,124
gold09,640,640,380,325,136,110
gold10,640,640,416,344,100,109
grayeye,505,302,505,302,0,0
help,756,756,756,756,0,0
hole,104,50,104,50,0,0
Industry-Manual-icon,128,128,128,128,0,0
manual,72,86,72,86,0,0
north-dig,496,266,496,266,0,0
north,455,228,455,228,0,0
pencil,219,309,219,309,0,0
play,335,400,335,400,0,0
red-hand,72,86,72,86,0,0
reinit,702,756,702,756,0,0
convert-im6.q16:,geometry,does,not,contain,image,`',@,warning/attribute.c/GetImageBoundingBo,/247.
resized,1,1,0,0,1,1
rewind,402,400,402,400,0,0
run,301,537,301,537,0,0
samurai-digging-0,320,320,173,186,36,51
samurai-digging-1,320,320,148,220,88,17
samurai-digging-2,320,320,173,203,111,34
samurai-digging-3,320,320,148,186,84,51
samurai-digging-4,320,320,173,186,36,51
samurai-digging-5,320,320,148,220,88,17
samurai-digging-6,320,320,173,203,111,34
samurai-digging-7,320,320,148,186,84,51
samurai-dug-0,320,320,190,200,19,51
samurai-dug-1,320,320,172,203,64,34
samurai-dug-2,320,320,190,203,111,34
samurai-dug-3,320,320,172,222,84,51
samurai-dug-4,320,320,190,200,19,51
samurai-dug-5,320,320,172,203,64,34
samurai-dug-6,320,320,190,203,111,34
samurai-dug-7,320,320,172,222,84,51
samurai-figure-0,218,393,218,393,0,0
samurai-figure-1,248,383,248,383,0,0
samurai-standing-0,320,320,126,193,83,44
samurai-standing-1,320,320,110,221,99,16
samurai-standing-2,320,320,124,203,111,34
samurai-standing-3,320,320,111,198,111,51
samurai-standing-4,320,320,126,193,83,44
samurai-standing-5,320,320,110,221,99,16
samurai-standing-6,320,320,124,203,111,34
samurai-standing-7,320,320,111,198,111,51
south-dig,496,266,496,266,0,0
south,455,228,455,228,0,0
speedometer,672,564,672,564,0,0
stepBackward,370,400,370,400,0,0
stepForward,370,400,370,400,0,0
stop,400,400,300,300,50,50
test-out,160,300,110,221,19,6
walk,241,544,241,544,0,0
west-dig,496,266,496,266,0,0
west,455,228,455,228,0,0
